Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment
GASOLINE;1145925600;Buy;0.01;20.11.2023 20:30:25;220.18;21.11.2023 06:59:23;218.75;-23.83;-24.83;0;
AUDUSD;1145892443;Buy;0.03;20.11.2023 19:45:30;0.65571;20.11.2023 20:04:38;0.65563;-0.96;-0.96;0;
GASOLINE;1145698263;Buy;0.01;20.11.2023 16:42:52;222.03;20.11.2023 18:26:23;220.66;-22.9;-22.90;0;
NATGAS;1145637409;Sell Stop;0.01;20.11.2023 16:07:49;2.916;20.11.2023 16:39:39;2.943;-32.27;-32.27;0;[S/L]
OIL;1145615012;Buy;0.01;20.11.2023 15:57:07;82.16;20.11.2023 16:02:49;82.22;2.39;2.39;0;
OIL;1145584191;Sell;0.01;20.11.2023 15:45:35;82.37;20.11.2023 15:54:20;82.2;6.78;6.78;0;
OIL;1145550455;Buy Limit;0.01;20.11.2023 15:34:22;81.97;20.11.2023 15:43:12;82.33;14.36;14.36;0;[T/P]
OIL;1145534384;Sell Limit;0.01;20.11.2023 15:30:17;82.02;20.11.2023 15:33:40;81.95;2.8;2.80;0;[T/P]
AUDUSD;1145522390;Buy;0.03;20.11.2023 15:22:58;0.65375;20.11.2023 15:28:40;0.6536;-1.8;-1.80;0;
AUDUSD;1145516949;Sell;0.03;20.11.2023 15:18:46;0.65426;20.11.2023 15:22:22;0.65375;6.12;6.12;0;
AUDUSD;1145290689;Buy;0.03;20.11.2023 11:47:57;0.65548;20.11.2023 15:04:30;0.65506;-5.03;-5.03;0;
AUDUSD;1145269784;Buy;0.03;20.11.2023 11:28:50;0.65547;20.11.2023 11:46:05;0.65519;-3.36;-3.36;0;
USDJPY;1145247696;Sell Stop;0.03;20.11.2023 11:06:59;148.335;20.11.2023 11:26:06;148.442;-8.66;-8.66;0;[S/L]
EURJPY;1145231864;Sell Stop;0.03;20.11.2023 10:53:54;162.169;20.11.2023 11:03:27;162.144;2.02;2.02;0;[S/L]
USDJPY;1145193767;Sell Stop;0.03;20.11.2023 10:21:01;148.379;20.11.2023 10:43:01;148.329;4.05;4.05;0;[S/L]
USDJPY;1145186113;Sell;0.03;20.11.2023 10:16:07;148.418;20.11.2023 10:19:20;148.413;0.4;0.40;0;
USDJPY;1145132000;Sell;0.03;20.11.2023 09:30:11;148.923;20.11.2023 09:44:37;148.77;12.38;12.38;0;
USDJPY;1145056951;Buy Stop;0.03;20.11.2023 08:28:53;149.16;20.11.2023 08:41:28;149.036;-10.02;-10.02;0;[S/L]
NATGAS;1144676429;Sell Stop;0.01;17.11.2023 21:08:26;2.959;17.11.2023 21:57:02;2.984;-30.13;-30.13;0;[S/L]
NATGAS;1144654877;Buy;0.01;17.11.2023 20:27:00;2.97;17.11.2023 21:07:04;2.952;-21.73;-21.73;0;
NATGAS;1144638021;Sell;0.01;17.11.2023 20:04:14;2.916;17.11.2023 20:26:56;2.972;-67.59;-67.59;0;
NATGAS;1144571570;Sell Limit;0.01;17.11.2023 18:32:14;2.924;17.11.2023 19:50:52;2.916;9.66;9.66;0;[T/P]
NATGAS;1144348587;Sell Stop;0.01;17.11.2023 15:49:30;2.947;17.11.2023 17:49:29;2.938;10.9;10.90;0;[S/L]
NATGAS;1142958114;Buy;0.02;16.11.2023 14:29:57;3.244;17.11.2023 15:08:29;2.961;-682.99;-685.01;0;
USDCAD;1142797114;Sell;0.05;16.11.2023 11:41:02;1.37036;16.11.2023 14:29:52;1.37211;-25.7;-25.70;0;
USDCAD;1142956723;Buy;0.01;16.11.2023 14:28:49;1.37208;16.11.2023 14:29:03;1.37188;-0.59;-0.59;0;
USDJPY;1142802848;Buy;0.02;16.11.2023 11:47:48;151.266;16.11.2023 14:23:37;151.021;-13.06;-13.06;0;
